Subjnum,Firstyrcumgpa
53.0,2
54.0,1
69.0,0
80.0,2
86.0,1
92.0,0
105.0,0
119.0,4
125.0,1
145.0,4
147.0,1
155.0,4
164.0,2
172.0,1
189.0,1
201.0,0
217.0,2
235.0,3
248.0,3
286.0,0
297.0,1
298.0,0
299.0,2
304.0,3
325.0,4
358.0,4
360.0,0
373.0,0
381.0,1
386.0,0
440.0,3
454.0,0
456.0,0
459.0,3
463.0,3
467.0,4
479.0,4
481.0,2
506.0,1
514.0,2
530.0,1
531.0,0
549.0,3
568.0,0
571.0,1
578.0,0
584.0,1
585.0,3
594.0,0
603.0,4
604.0,0
625.0,0
627.0,1
633.0,2
636.0,2
673.0,2
678.0,1
679.0,0
681.0,3
699.0,1
704.0,4
710.0,1
716.0,1
719.0,2
760.0,4
773.0,1
774.0,1
794.0,2
804.0,0
816.0,0
818.0,0
826.0,1
829.0,1
845.0,2
858.0,0
869.0,1
878.0,4
884.0,1
885.0,3
895.0,4
909.0,3
928.0,3
932.0,1
940.0,0
943.0,1
947.0,2
949.0,0
952.0,3
966.0,2
967.0,2
982.0,1
987.0,2
999.0,1
1017.0,4
1018.0,0
1036.0,0
1062.0,0
1063.0,0
1064.0,0
1074.0,3
1131.0,0
1161.0,3
1176.0,4
1183.0,3
1187.0,0
1190.0,1
1193.0,1
1219.0,0
1228.0,0
1255.0,3
1268.0,0
1271.0,0
1281.0,1
1286.0,1
1293.0,3
1306.0,0
1314.0,4
1317.0,0
1318.0,3
1336.0,1
1343.0,1
1344.0,0
1345.0,4
1373.0,2
1388.0,4
1398.0,0
1400.0,4
1406.0,1
1407.0,0
1419.0,0
1430.0,3
1443.0,1
1444.0,3
1447.0,3
1462.0,2
1463.0,0
1464.0,0
1472.0,4
1486.0,0
1490.0,0
1495.0,4
1521.0,4
1543.0,3
1550.0,1
1554.0,1
1557.0,0
1559.0,0
1577.0,0
1600.0,3
1601.0,4
1603.0,3
1616.0,1
1622.0,1
1627.0,0
1666.0,1
1685.0,2
1694.0,0
1699.0,3
1772.0,4
1784.0,4
1785.0,2
1805.0,1
1807.0,1
1814.0,3
1826.0,4
1847.0,3
1861.0,0
1866.0,1
1889.0,0
1893.0,0
1922.0,4
1938.0,0
1941.0,0
1950.0,4
1969.0,0
1984.0,0
2005.0,1
2011.0,1
2019.0,3
2021.0,4
2033.0,4
2037.0,1
2041.0,4
2053.0,2
2056.0,2
2063.0,4
2064.0,2
2069.0,2
2088.0,1
2106.0,1
2126.0,4
2128.0,4
2171.0,3
2175.0,4
2189.0,4
2219.0,1
2221.0,2
2241.0,3
2274.0,2
2280.0,3
2297.0,4
2298.0,4
2303.0,0
2307.0,4
2309.0,4
2318.0,1
2325.0,4
2335.0,1
2336.0,1
2377.0,0
2378.0,1
2388.0,4
2432.0,4
2441.0,1
2454.0,3
2470.0,1
2471.0,0
2487.0,1
2488.0,0
2489.0,4
2504.0,4
2520.0,4
2523.0,3
2525.0,1
2546.0,1
2548.0,1
2552.0,2
2561.0,4
2587.0,3
2588.0,3
2598.0,4
2613.0,3
2630.0,0
2634.0,1
2637.0,0
2644.0,2
2649.0,4
2653.0,0
2661.0,3
2663.0,3
2671.0,0
2674.0,3
2690.0,0
2703.0,2
2709.0,0
2712.0,0
2721.0,1
2761.0,2
2764.0,0
2773.0,1
2779.0,4
2781.0,2
2785.0,2
2790.0,4
2809.0,0
2821.0,0
2860.0,4
2881.0,3
2884.0,0
2904.0,0
2909.0,3
2919.0,4
2940.0,1
2943.0,4
2970.0,3
2974.0,2
2987.0,4
2988.0,4
2990.0,2
2992.0,4
2994.0,1
3014.0,4
3020.0,4
3022.0,2
3026.0,1
3048.0,4
3091.0,0
3109.0,3
3112.0,4
3127.0,1
3141.0,2
3142.0,3
3145.0,1
3151.0,0
3152.0,1
3175.0,1
3178.0,4
3186.0,4
3187.0,0
3188.0,4
3193.0,1
3197.0,2
3205.0,0
3225.0,0
3238.0,4
3240.0,0
3245.0,3
3261.0,4
3264.0,2
3267.0,4
